JD, RV_wobble, RV_err_wobble, RV_pipeline, RV_err_pipeline
2458473.75213848, 43.5076, 60.0469, -513.8521, 29.1994
2458478.77385868, 397.8869, 598.7603, 321.5328, 38.1361
2458479.77133004, 130.9446, 250.6915, 465.3674, 32.6418
2458481.67974915, 50.9657, 209.0260, -41.9740, 45.0999
2458482.75983937, -41.5973, 222.9776, 1430.8035, 49.5272
2458483.76824614, -51.9143, 151.5127, 992.6829, 32.3034
2458484.77153610, -629.5553, 1208.6568, 461.9282, 68.1124
2458486.70209070, -146.6329, 318.8659, -1122.4899, 28.2733
2458487.75295055, -27.2061, nan, -1459.2300, 34.2640
2458488.75504513, -7.0906, 104.1623, -3188.8739, 32.8066
2458489.77033405, -7.3315, 91.9998, 1299.8267, 53.8067
2458492.68863070, 43.9510, 75.4780, -760.9175, 42.1486
2458533.56787373, -44.2118, 263.1198, -2074.8328, 58.3758
2458533.77513199, 144.7787, 280.7072, 1075.9184, 43.1461
2458534.44198771, 139.3335, 330.4767, 2256.4534, 63.5384
2458534.57834260, 92.0778, nan, -513.6786, 34.1806
2458534.67816950, 70.1371, 293.1609, 793.9362, 46.1134
2458534.78153808, -158.0432, 383.9265, 577.3994, 44.1634
